X,Y,Z
454734.33,6504755.51,-0.00999999999999801
454734.98,6504757.95,0.0399999999999991
454735.63,6504760.41,0.0799999999999983
454736.49,6504763.65,0.130000000000003
454737.79,6504768.52,0.200000000000003
454738.01,6504769.34,0.170000000000002
454738.43,6504770.92,0.140000000000001
454739.75,6504775.87,0.210000000000001
454740.16,6504777.44,0.280000000000001
454740.81,6504779.88,0.0600000000000023
454741.04,6504780.73,0.200000000000003
454741.47,6504782.36,0.119999999999997
454741.68,6504783.14,0.0700000000000003
454741.89,6504783.94,0.100000000000001
454742.11,6504784.76,0.0499999999999972
454742.96,6504787.95,0.100000000000001
454743.4,6504789.59,0.0799999999999983
454743.83,6504791.2,0.0700000000000003
454744.03,6504791.99,0.00999999999999801
454744.26,6504792.82,0.0600000000000023
454744.69,6504794.44,0.0899999999999963
454744.91,6504795.26,0.0600000000000023
454745.11,6504796.03,0.0700000000000003
454745.76,6504798.49,0.119999999999997
454746.41,6504800.93,0.0600000000000023
454746.84,6504802.52,0.0700000000000003
454747.06,6504803.37,0.0799999999999983
454747.28,6504804.17,0.0399999999999991
454748.13,6504807.4,0.159999999999997
454748.57,6504809.02,0.170000000000002
454749.0,6504810.67,0.189999999999998
454749.21,6504811.45,0.229999999999997
454749.63,6504813.04,0.210000000000001
454749.85,6504813.83,0.119999999999997
454734.25,6504751.01,0.149999999999999
454735.33,6504755.08,0.149999999999999
454736.2,6504758.31,0.0700000000000003
454737.05,6504761.54,0.149999999999999
454737.48,6504763.13,0.130000000000003
454737.71,6504764.01,0.200000000000003
454737.92,6504764.79,0.0700000000000003
454738.13,6504765.59,0.189999999999998
454738.56,6504767.19,0.119999999999997
454738.79,6504768.05,0.149999999999999
454739.21,6504769.64,0.0200000000000031
454739.44,6504770.5,0.0200000000000031
454739.86,6504772.08,0.100000000000001
454740.08,6504772.93,0.109999999999999
454740.29,6504773.7,0.170000000000002
454740.73,6504775.35,0.109999999999999
454741.82,6504779.46,0.200000000000003
454742.01,6504780.18,0.0700000000000003
454742.67,6504782.63,0.109999999999999
454742.89,6504783.48,0.119999999999997
454743.31,6504785.07,0.100000000000001
454743.53,6504785.89,0.140000000000001
454743.96,6504787.5,0.0499999999999972
454744.38,6504789.09,0.119999999999997
454744.61,6504789.95,0.0799999999999983
454745.03,6504791.53,0.170000000000002
454745.46,6504793.13,0.100000000000001
454745.69,6504793.99,0.0899999999999963
454745.9,6504794.78,0.119999999999997
454746.11,6504795.6,0.0799999999999983
454746.54,6504797.19,0.170000000000002
454746.98,6504798.84,0.149999999999999
454747.19,6504799.63,0.140000000000001
454747.42,6504800.49,0.229999999999997
454748.7,6504805.31,0.210000000000001
454735.42,6504750.78,0.159999999999997
454735.85,6504752.41,0.130000000000003
454736.28,6504754.04,0.109999999999999
454736.72,6504755.7,0.170000000000002
454736.93,6504756.47,0.149999999999999
454737.37,6504758.14,0.189999999999998
454738.22,6504761.32,0.100000000000001
454738.45,6504762.17,0.119999999999997
454739.31,6504765.4,0.119999999999997
454739.53,6504766.26,0.0300000000000011
454740.17,6504768.67,0.0399999999999991
454740.6,6504770.28,0.0300000000000011
454741.03,6504771.89,0.109999999999999
454741.47,6504773.53,0.0600000000000023
454741.68,6504774.33,0
454742.11,6504775.94,0.0899999999999963
454742.98,6504779.21,-0.0300000000000011
454743.41,6504780.82,0.0700000000000003
454743.83,6504782.41,0.130000000000003
454745.35,6504788.12,0.280000000000001
454745.57,6504788.91,0.119999999999997
454745.79,6504789.75,0.0600000000000023
454746.0,6504790.54,0.109999999999999
454746.63,6504792.94,0
454746.86,6504793.78,0.0799999999999983
454747.72,6504796.99,0.0600000000000023
454748.16,6504798.67,0.0399999999999991
454748.36,6504799.43,0.0899999999999963
454749.24,6504802.72,0.130000000000003
454736.13,6504750.68,0.109999999999999
454736.57,6504752.31,0.18
454736.99,6504753.91,0.170000000000002
454737.21,6504754.75,0.200000000000003
454737.43,6504755.54,0.170000000000002
454737.64,6504756.36,0.159999999999997
454738.08,6504757.98,0.229999999999997
454738.51,6504759.62,0.170000000000002
454738.72,6504760.42,0.149999999999999
454738.95,6504761.26,0.130000000000003
454739.16,6504762.07,0.149999999999999
454739.38,6504762.88,0.119999999999997
454739.6,6504763.69,0.0899999999999963
454739.8,6504764.45,0.0399999999999991
454740.02,6504765.3,0.0499999999999972
454740.46,6504766.92,0.119999999999997
454740.68,6504767.75,0.0899999999999963
454741.53,6504770.96,0.0300000000000011
454741.76,6504771.82,0.0700000000000003
454742.84,6504775.85,0.149999999999999
454743.04,6504776.65,0.109999999999999
454743.25,6504777.42,0.0799999999999983
454744.13,6504780.73,0.18
454744.56,6504782.34,0.170000000000002
454744.76,6504783.11,0.149999999999999
454744.98,6504783.93,0.159999999999997
454745.21,6504784.78,0.0799999999999983
454745.64,6504786.4,0.149999999999999
454745.85,6504787.21,0.109999999999999
454746.07,6504788.02,0.240000000000002
454746.49,6504789.6,0.109999999999999
454746.71,6504790.44,0.210000000000001
454746.93,6504791.25,0.0799999999999983
454747.14,6504792.04,0.240000000000002
454747.8,6504794.49,0.140000000000001
454749.09,6504799.36,0.109999999999999
454749.51,6504800.92,0.0200000000000031
454749.73,6504801.76,0.100000000000001
454749.94,6504802.55,0.200000000000003
454737.22,6504751.95,0.219999999999999
454738.08,6504755.21,0.219999999999999
454738.3,6504756.02,0.140000000000001
454738.53,6504756.87,0.170000000000002
454738.73,6504757.65,0.130000000000003
454739.17,6504759.28,0.140000000000001
454739.82,6504761.72,0.0799999999999983
454740.03,6504762.52,0.0700000000000003
454740.68,6504764.98,0.0700000000000003
454741.11,6504766.6,0.119999999999997
454742.41,6504771.45,0.0899999999999963
454742.62,6504772.26,0.109999999999999
454742.83,6504773.06,0.119999999999997
454743.48,6504775.49,0.0899999999999963
454744.78,6504780.39,0.189999999999998
454745.22,6504782.01,0.140000000000001
454745.64,6504783.6,0.109999999999999
454746.07,6504785.22,0.159999999999997
454746.72,6504787.65,0.219999999999999
454746.94,6504788.51,0.159999999999997
454748.02,6504792.53,0.109999999999999
454749.09,6504796.54,0.140000000000001
454749.73,6504798.96,0.149999999999999
454749.95,6504799.79,0.100000000000001
454738.11,6504751.7,0.149999999999999
454738.97,6504754.94,0.149999999999999
454739.4,6504756.55,0.25
454740.04,6504758.97,0.0799999999999983
454740.7,6504761.45,0.130000000000003
454740.92,6504762.27,0.0899999999999963
454741.35,6504763.9,0.0799999999999983
454741.78,6504765.49,0.130000000000003
454742.0,6504766.32,0.0899999999999963
454742.2,6504767.08,0.100000000000001
454743.07,6504770.35,0.00999999999999801
454743.28,6504771.15,0.149999999999999
454743.93,6504773.57,0.109999999999999
454744.37,6504775.22,0.100000000000001
454744.59,6504776.04,0.130000000000003
454744.81,6504776.88,0.140000000000001
454745.24,6504778.52,0.18
454745.66,6504780.07,0.130000000000003
454745.89,6504780.93,0.189999999999998
454746.54,6504783.37,0.200000000000003
454746.74,6504784.12,0.130000000000003
454747.4,6504786.58,0.159999999999997
454747.82,6504788.19,0.109999999999999
454748.47,6504790.61,0.140000000000001
454748.69,6504791.46,0.140000000000001
454748.89,6504792.22,0.109999999999999
454749.33,6504793.87,0.0799999999999983
454749.54,6504794.63,0.189999999999998
454738.86,6504750.86,0.0399999999999991
454739.07,6504751.66,0.0600000000000023
454739.28,6504752.45,0.00999999999999801
454739.71,6504754.07,0
454739.94,6504754.93,0.0799999999999983
454741.02,6504759.0,0.0700000000000003
454741.25,6504759.85,0.0600000000000023
454741.67,6504761.45,0.0899999999999963
454742.33,6504763.88,0.119999999999997
454742.53,6504764.65,0.140000000000001
454742.97,6504766.31,0.109999999999999
454743.4,6504767.94,0.210000000000001
454744.92,6504773.61,0.229999999999997
454745.57,6504776.05,0.289999999999999
454745.99,6504777.65,0.140000000000001
454746.21,6504778.49,0.149999999999999
454747.51,6504783.38,0.0799999999999983
454748.16,6504785.78,0.0499999999999972
454748.79,6504788.15,0.0899999999999963
454749.23,6504789.81,0.0600000000000023
454749.87,6504792.22,0.109999999999999
454739.92,6504750.94,-0.00999999999999801
454740.8,6504754.23,0.0600000000000023
454741.45,6504756.66,0.0700000000000003
454741.66,6504757.45,0.100000000000001
454742.09,6504759.06,0.00999999999999801
454742.3,6504759.85,0.00999999999999801
454742.52,6504760.7,0.100000000000001
454742.73,6504761.49,0.100000000000001
454743.17,6504763.13,0.0600000000000023
454743.61,6504764.77,0.109999999999999
454743.83,6504765.59,0.140000000000001
454744.03,6504766.36,0.170000000000002
454744.47,6504768.0,0.149999999999999
454745.35,6504771.3,0.229999999999997
454745.77,6504772.87,0.25
454745.99,6504773.71,0.210000000000001
454746.64,6504776.13,0.0499999999999972
454746.85,6504776.93,0.0799999999999983
454747.72,6504780.21,0.109999999999999
454747.94,6504781.01,0.170000000000002
454748.15,6504781.81,0.0499999999999972
454749.22,6504785.82,0.109999999999999
454740.72,6504750.26,0.0300000000000011
454741.37,6504752.68,-0.0600000000000023
454742.44,6504756.74,0.0600000000000023
454742.65,6504757.51,0.0899999999999963
454743.3,6504759.94,0.130000000000003
454743.53,6504760.81,0.240000000000002
454743.75,6504761.61,0.159999999999997
454744.18,6504763.23,0.159999999999997
454745.26,6504767.32,0.130000000000003
454745.47,6504768.1,0.130000000000003
454745.69,6504768.9,0.119999999999997
454746.56,6504772.17,0.109999999999999
454747.0,6504773.82,0.0499999999999972
454747.43,6504775.43,0.140000000000001
454747.85,6504777.03,0.159999999999997
454748.07,6504777.84,0.0200000000000031
454748.92,6504781.04,0.0899999999999963
454749.36,6504782.67,0.140000000000001
454749.57,6504783.46,0.0399999999999991
454749.79,6504784.29,0.0700000000000003
454741.7,6504750.07,0.119999999999997
454742.33,6504752.46,0.0399999999999991
454743.22,6504755.79,0.109999999999999
454743.42,6504756.54,0.00999999999999801
454743.87,6504758.23,0.140000000000001
454744.3,6504759.87,0.159999999999997
454744.51,6504760.65,0.0600000000000023
454744.96,6504762.32,0.130000000000003
454745.38,6504763.91,0.149999999999999
454745.6,6504764.73,0.170000000000002
454745.81,6504765.53,0.189999999999998
454746.24,6504767.15,0.100000000000001
454746.88,6504769.56,-0.00999999999999801
454747.12,6504770.43,0.0600000000000023
454747.32,6504771.21,0.0200000000000031
454748.18,6504774.44,0.0399999999999991
454749.04,6504777.67,0.109999999999999
454742.94,6504750.78,0.210000000000001
454743.17,6504751.64,0.170000000000002
454743.37,6504752.41,0.149999999999999
454743.59,6504753.23,0.0799999999999983
454743.81,6504754.06,0.159999999999997
454744.02,6504754.85,0.189999999999998
454744.25,6504755.69,0.0899999999999963
454744.47,6504756.51,0.210000000000001
454744.68,6504757.32,0.149999999999999
454744.91,6504758.17,0.140000000000001
454745.11,6504758.91,0.119999999999997
454745.33,6504759.75,0.140000000000001
454745.76,6504761.36,0.119999999999997
454746.19,6504763.0,0.149999999999999
454747.07,6504766.28,0.189999999999998
454747.28,6504767.09,0.109999999999999
454747.5,6504767.88,0.159999999999997
454747.93,6504769.49,0.0700000000000003
454748.14,6504770.3,0.0600000000000023
454748.36,6504771.12,0.0799999999999983
454748.79,6504772.76,0.109999999999999
454749.44,6504775.18,0.109999999999999
454749.64,6504775.92,0.0399999999999991
454744.45,6504753.16,0.170000000000002
454744.88,6504754.78,0.100000000000001
454745.97,6504758.86,0.210000000000001
454746.17,6504759.64,0.0499999999999972
454746.83,6504762.09,0.210000000000001
454747.47,6504764.52,0.18
454747.7,6504765.36,0.119999999999997
454748.12,6504766.93,0.0799999999999983
454748.34,6504767.75,0.0700000000000003
454748.55,6504768.56,0.149999999999999
454748.77,6504769.38,0.100000000000001
454749.63,6504772.61,0.109999999999999
454749.85,6504773.43,0.140000000000001
454744.47,6504750.33,0.0499999999999972
454744.69,6504751.11,0.0700000000000003
454744.9,6504751.91,0.0700000000000003
454745.13,6504752.78,0.159999999999997
454745.32,6504753.52,0
454745.55,6504754.38,0.149999999999999
454745.98,6504755.97,0.0300000000000011
454746.41,6504757.6,0.0200000000000031
454747.29,6504760.89,0.0600000000000023
454747.5,6504761.68,0.109999999999999
454748.15,6504764.1,0.140000000000001
454748.79,6504766.52,0.109999999999999
454749.23,6504768.16,0.149999999999999
454749.44,6504768.95,0.119999999999997
454749.67,6504769.8,0.100000000000001
454749.88,6504770.59,0.280000000000001
454745.61,6504750.71,0.149999999999999
454745.84,6504751.57,0.200000000000003
454746.26,6504753.18,0.149999999999999
454746.69,6504754.78,0.140000000000001
454747.34,6504757.21,0.119999999999997
454747.99,6504759.66,0.159999999999997
454748.41,6504761.23,0.100000000000001
454748.65,6504762.11,0.149999999999999
454749.07,6504763.69,0.0700000000000003
454749.93,6504766.93,0.149999999999999
454746.57,6504750.32,0.149999999999999
454746.8,6504751.18,0.25
454747.23,6504752.79,0.149999999999999
454747.87,6504755.19,0.170000000000002
454748.09,6504756.01,0.18
454748.95,6504759.25,0.339999999999996
454749.81,6504762.48,0.159999999999997
454747.66,6504751.43,0.18
454748.09,6504753.05,0.189999999999998
454748.75,6504755.52,0.280000000000001
454748.96,6504756.32,0.119999999999997
454748.4,6504750.93,0.109999999999999
454748.83,6504752.58,0.119999999999997
454749.7,6504755.83,0.149999999999999
454749.93,6504756.67,0.149999999999999
454749.68,6504751.48,0.0700000000000003
454500.18,6504876.21,0.149999999999999
454500.36,6504875.42,0.189999999999998
454500.4,6504879.64,0.0799999999999983
454500.59,6504878.87,0.200000000000003
454500.8,6504878.01,0.149999999999999
454500.99,6504877.24,0.130000000000003
454501.19,6504876.41,0.109999999999999
454501.39,6504875.6,0.119999999999997
454500.14,6504883.51,0.25
454500.34,6504882.69,0.280000000000001
454500.74,6504881.08,0.119999999999997
454501.13,6504879.47,0.100000000000001
454501.33,6504878.64,0.0899999999999963
454501.52,6504877.86,0.0700000000000003
454501.72,6504877.07,0.140000000000001
454501.91,6504876.27,0.109999999999999
454502.12,6504875.42,0
454500.11,6504887.3,0.109999999999999
454500.31,6504886.48,0.159999999999997
454500.49,6504885.74,0.240000000000002
454501.09,6504883.28,0.119999999999997
454501.3,6504882.45,0.109999999999999
454501.48,6504881.68,0.0899999999999963
454501.88,6504880.05,0.0200000000000031
454502.07,6504879.26,0.0700000000000003
454502.28,6504878.43,0.0399999999999991
454502.47,6504877.64,-0.00999999999999801
454502.67,6504876.82,0.0399999999999991
454502.87,6504876.01,0.0499999999999972
454503.06,6504875.24,0
454500.35,6504890.89,0.100000000000001
454500.74,6504889.28,0.109999999999999
454500.94,6504888.5,0.189999999999998
454501.33,6504886.87,0.149999999999999
454501.52,6504886.09,0.25
454502.71,6504881.23,-0.00999999999999801
454502.91,6504880.43,0.0700000000000003
454503.31,6504878.79,0.0600000000000023
454503.5,6504878.01,0.0499999999999972
454503.7,6504877.19,0
454503.9,6504876.37,0.0600000000000023
454500.19,6504895.44,0.159999999999997
454500.4,6504894.61,0.130000000000003
454500.58,6504893.85,0.18
454500.79,6504892.99,0.0600000000000023
454501.18,6504891.41,0.119999999999997
454501.38,6504890.59,0.200000000000003
454501.76,6504889.0,0.210000000000001
454502.36,6504886.57,0.119999999999997
454502.56,6504885.77,0.00999999999999801
454502.75,6504884.98,0.0499999999999972
454502.96,6504884.14,0.0799999999999983
454503.15,6504883.35,0.0600000000000023
454503.35,6504882.53,-0.0499999999999972
454503.55,6504881.74,0.130000000000003
454503.74,6504880.95,0.0600000000000023
454503.95,6504880.09,0.0499999999999972
454504.73,6504876.89,0.0399999999999991
454504.94,6504876.04,0.00999999999999801
454505.13,6504875.25,0.0899999999999963
454500.36,6504898.13,0.109999999999999
454500.75,6504896.54,0.119999999999997
454500.95,6504895.72,0.149999999999999
454501.15,6504894.92,0.0799999999999983
454501.34,6504894.12,0.18
454501.73,6504892.55,0.210000000000001
454502.12,6504890.93,0.130000000000003
454502.71,6504888.51,0.130000000000003
454503.12,6504886.86,0.0300000000000011
454503.31,6504886.06,0.0899999999999963
454503.51,6504885.27,0.140000000000001
454503.7,6504884.46,0.0600000000000023
454504.31,6504881.99,0.0399999999999991
454504.9,6504879.57,0.0600000000000023
454505.1,6504878.76,0.00999999999999801
454505.29,6504877.97,0.109999999999999
454505.49,6504877.15,0.170000000000002
454505.69,6504876.36,0.0499999999999972
454505.88,6504875.54,0.149999999999999
454500.15,6504903.86,0.189999999999998
454500.36,6504903.02,0.0899999999999963
454500.56,6504902.2,0.109999999999999
454500.95,6504900.6,0.149999999999999
454501.14,6504899.81,0.219999999999999
454501.34,6504899.02,0.0899999999999963
454501.54,6504898.18,0.100000000000001
454501.73,6504897.42,0.140000000000001
454502.13,6504895.78,0.0799999999999983
454502.32,6504895.03,0.170000000000002
454502.71,6504893.41,0.18
454503.51,6504890.15,0.0700000000000003
454503.71,6504889.31,0.0200000000000031
454504.1,6504887.71,0.0600000000000023
454504.3,6504886.9,0.0700000000000003
454504.71,6504885.23,-0.0399999999999991
454505.29,6504882.87,0
454505.49,6504882.06,0.0700000000000003
454505.89,6504880.44,0.0899999999999963
454506.29,6504878.78,0.100000000000001
454506.48,6504878.02,0.18
454506.69,6504877.17,0.149999999999999
454506.87,6504876.38,0.130000000000003
454507.07,6504875.57,0
454500.04,6504909.69,0.119999999999997
454500.24,6504908.87,0.18
454500.44,6504908.05,0.119999999999997
454500.63,6504907.27,0.18
454501.03,6504905.65,0.0799999999999983
454501.23,6504904.84,0.18
454501.42,6504904.04,0.159999999999997
454501.62,6504903.24,0.0700000000000003
454501.82,6504902.42,0.159999999999997
454502.21,6504900.82,0.0600000000000023
454502.4,6504900.02,0.159999999999997
454502.99,6504897.62,0.149999999999999
454503.19,6504896.81,0.149999999999999
454503.39,6504895.99,0.229999999999997
454503.79,6504894.37,0.0899999999999963
454503.99,6504893.55,0.0399999999999991
454504.58,6504891.12,0.0700000000000003
454504.98,6504889.49,0.00999999999999801
454505.17,6504888.72,0.0399999999999991
454505.57,6504887.08,0.0499999999999972
454505.97,6504885.45,-0.00999999999999801
454506.16,6504884.66,0.0600000000000023
454506.56,6504883.03,0.100000000000001
454506.75,6504882.25,0.259999999999998
454507.15,6504880.61,0.149999999999999
454507.35,6504879.81,0.229999999999997
454507.55,6504878.99,0.0700000000000003
454507.94,6504877.39,0.130000000000003
454508.13,6504876.6,0.159999999999997
454500.0,6504913.91,0.149999999999999
454500.18,6504913.13,0.100000000000001
454500.39,6504912.3,0.109999999999999
454500.59,6504911.49,0.0899999999999963
454500.78,6504910.71,0.18
454501.37,6504908.28,0.159999999999997
454501.75,6504906.71,0.229999999999997
454501.96,6504905.87,0.130000000000003
454502.16,6504905.07,0.140000000000001
454502.35,6504904.29,0.18
454502.55,6504903.45,0
454503.15,6504901.02,0.0300000000000011
454503.34,6504900.25,0.130000000000003
454503.54,6504899.41,0.0499999999999972
454503.73,6504898.63,0.159999999999997
454504.14,6504896.98,0.140000000000001
454504.74,6504894.53,0.0399999999999991
454505.13,6504892.93,-0.0600000000000023
454505.31,6504892.16,-0.00999999999999801
454505.72,6504890.5,-0.0600000000000023
454505.91,6504889.75,0.00999999999999801
454506.11,6504888.9,0.0200000000000031
454506.31,6504888.09,0.00999999999999801
454506.5,6504887.29,0.0200000000000031
454506.71,6504886.46,0.0799999999999983
454506.9,6504885.68,0.0799999999999983
454507.3,6504884.05,0.200000000000003
454507.48,6504883.29,0.210000000000001
454507.88,6504881.66,0.159999999999997
454508.07,6504880.88,0.149999999999999
454508.28,6504880.03,0.210000000000001
454508.47,6504879.26,0.0499999999999972
454508.67,6504878.45,0.219999999999999
454509.27,6504875.99,0.130000000000003
454500.17,6504916.94,0.0399999999999991
454500.36,6504916.17,0.119999999999997
454500.55,6504915.37,0.170000000000002
454500.95,6504913.76,0.100000000000001
454501.15,6504912.92,0.170000000000002
454501.54,6504911.35,0.170000000000002
454501.74,6504910.55,0.18
454501.93,6504909.75,0.200000000000003
454502.32,6504908.14,0.0799999999999983
454502.72,6504906.51,0.149999999999999
454503.11,6504904.92,0.130000000000003
454503.71,6504902.49,0.119999999999997
454503.9,6504901.69,0.0700000000000003
454504.1,6504900.87,0.119999999999997
454504.3,6504900.06,0.119999999999997
454504.5,6504899.25,0.149999999999999
454505.29,6504896.0,-0.0200000000000031
454505.49,6504895.2,-0.100000000000001
454505.69,6504894.38,-0.00999999999999801
454505.88,6504893.58,0.119999999999997
454506.28,6504891.95,-0.0300000000000011
454506.48,6504891.14,0.0399999999999991
454506.68,6504890.34,-0.0399999999999991
454507.07,6504888.72,0.0399999999999991
454507.27,6504887.92,0.0700000000000003
454507.46,6504887.12,0.18
